190903 204729.962|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\Wamp64\www\GitHub\COMP-248\comp248_labs\bin\logs directory.
190903 204729.962|INFO|AWT-EventQueue-0|info|
190903 204729.962|INFO|AWT-EventQueue-0|info|Version 9.6.0 () Java ver 1.8.0_221 build 5102 Windows 10 10.0 (x86) 
190903 204729.962|INFO|AWT-EventQueue-0|info|Login: team240131284 (aka team240131284)
190903 204729.962|INFO|AWT-EventQueue-0|startLog|Working directory is D:\Wamp64\www\GitHub\COMP-248\comp248_labs\bin
190903 204729.963|INFO|AWT-EventQueue-0|startLog|Process id is 13024@DESKTOP-0RQ392J
190903 204729.963|INFO|AWT-EventQueue-0|info|Contacting server at apic1.encs.concordia.ca:50002 as TEAM240131284 @ site 0
190903 204729.963|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM240131284 @ site 0
190903 204729.963|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #3 TEAM240131284 @ site 0 -> SERVER0 @ site 0
190903 204729.963|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #3 TEAM240131284 @ site 0 -> SERVER0 @ site 0
190903 204729.963|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190903 204729.963|INFO|Thread-8|run|send(Serializable)
190903 204730.097|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190903 204730.097|INFO|Thread-9|info| receiveObject(S) start got Packet[LOGIN_FAILED] #16 SERVER0 @ site 1 -> TEAM240131284 @ site 0
190903 204730.098|INFO|Thread-9|dumpPacket|Packet LOGIN_FAILED (Seq #16, o#16 ) recieveObject
190903 204730.098|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (pc2prod.encs.concordia.ca @ 127.0.0.1) (Contest Id: Default-7630980434754150566)
190903 204730.098|INFO|Thread-9|dumpPacket|    To: TEAM240131284 @ site 0
190903 204730.098|INFO|Thread-9|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
190903 204730.098|INFO|Thread-9|info|handlePacket start Packet[LOGIN_FAILED] #16 SERVER0 @ site 1 -> TEAM240131284 @ site 0
190903 204730.098|INFO|Thread-9|dumpPacket|Packet LOGIN_FAILED (Seq #16, o#16 ) handlePacket
190903 204730.098|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (pc2prod.encs.concordia.ca @ 127.0.0.1) (Contest Id: Default-7630980434754150566)
190903 204730.098|INFO|Thread-9|dumpPacket|    To: TEAM240131284 @ site 0
190903 204730.098|INFO|Thread-9|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
190903 204730.767|INFO|Thread-9|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #16 SERVER0 @ site 1 -> TEAM240131284 @ site 0
