190923 194547.732|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\Wamp64\www\GitHub\University\COMP-248\comp248_labs\bin\logs directory.
190923 194547.732|INFO|AWT-EventQueue-0|info|
190923 194547.732|INFO|AWT-EventQueue-0|info|Version 9.6.0 () Java ver 1.8.0_221 build 5102 Windows 10 10.0 (x86) 
190923 194547.732|INFO|AWT-EventQueue-0|info|Login: team40131284 (aka team40131284)
190923 194547.732|INFO|AWT-EventQueue-0|startLog|Working directory is D:\Wamp64\www\GitHub\University\COMP-248\comp248_labs\bin
190923 194547.732|INFO|AWT-EventQueue-0|startLog|Process id is 2172@DESKTOP-0RQ392J
190923 194547.732|INFO|AWT-EventQueue-0|info|Contacting server at apic1.encs.concordia.ca:50002 as TEAM40131284 @ site 0
190923 194547.732|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM40131284 @ site 0
190923 194547.732|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #15 TEAM40131284 @ site 0 -> SERVER0 @ site 0
190923 194547.733|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #15 TEAM40131284 @ site 0 -> SERVER0 @ site 0
190923 194547.733|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190923 194547.733|INFO|Thread-32|run|send(Serializable)
190923 194547.858|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190923 194547.859|INFO|Thread-33|info| receiveObject(S) start got Packet[LOGIN_FAILED] #2663 SERVER0 @ site 1 -> TEAM40131284 @ site 0
190923 194547.859|INFO|Thread-33|dumpPacket|Packet LOGIN_FAILED (Seq #2663, o#2663 ) recieveObject
190923 194547.859|INFO|Thread-33|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (pc2prod.encs.concordia.ca @ 127.0.0.1) (Contest Id: Lab_1_1_Mon-1230--6930591163389002333)
190923 194547.859|INFO|Thread-33|dumpPacket|    To: TEAM40131284 @ site 0
190923 194547.859|INFO|Thread-33|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Account inactive
190923 194547.859|INFO|Thread-33|info|handlePacket start Packet[LOGIN_FAILED] #2663 SERVER0 @ site 1 -> TEAM40131284 @ site 0
190923 194547.859|INFO|Thread-33|dumpPacket|Packet LOGIN_FAILED (Seq #2663, o#2663 ) handlePacket
190923 194547.860|INFO|Thread-33|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (pc2prod.encs.concordia.ca @ 127.0.0.1) (Contest Id: Lab_1_1_Mon-1230--6930591163389002333)
190923 194547.860|INFO|Thread-33|dumpPacket|    To: TEAM40131284 @ site 0
190923 194547.860|INFO|Thread-33|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Account inactive
190923 194548.787|INFO|Thread-33|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #2663 SERVER0 @ site 1 -> TEAM40131284 @ site 0
