GTL GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GT GTR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G WTL WT WTR G G G G G G G G G G G G G G G G G GR
GL G G G WL W WR G G G G G G G G G G G G G G G G G GR
GL G G G WBL WB WBR G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GL G G G G G G G G G G G G G G G G G G G G G G G GR
GBL GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GB GBR
